"X","id","firstname","surname","bornCountryCode","diedCountryCode","gender","year","category","motivation"
757,577,"Rudyard","Kipling","IN","GB","male",1907,"literature"," consideration   power  observation originality  imagination virility  ideas  remarkable talent  narration  characterize  creations  this world-famous author"
759,590,"Anatole","France","FR","FR","male",1921,"literature","    brilliant literary achievements characterized  they    nobility  style  profound human sympathy grace   true Gallic temperament"
761,578,"Rudolf Christoph","Eucken","DE","DE","male",1908,"literature","    earnest search  truth  penetrating power  thought  wide range  vision   warmth  strength  presentation     numerous works   vindicated    idealistic philosophy  life"
762,600,"Henri","Bergson","FR","FR","male",1927,"literature","    rich  vitalizing ideas   brilliant skill   they have been presented"
766,585,"Carl Gustaf Verner","von Heidenstam","SE","SE","male",1916,"literature","    significance   leading representative   new era   literature"
767,621,"Earl (Bertrand Arthur William)","Russell","GB","GB","male",1950,"literature","    varied  significant writings    champions humanitarian ideals  freedom  thought"
784,573,"Fr_d_ric","Mistral","FR","FR","male",1904,"literature","    fresh originality  true inspiration   poetic production  faithfully reflects  natural scenery  native spirit   people   addition  significant    Provenccedilal philologist"
787,574,"Jos_","Echegaray y Eizaguirre","ES","ES","male",1904,"literature","    numerous  brilliant compositions    individual  original manner have revived  great traditions   Spanish drama"
799,588,"Carl Friedrich Georg","Spitteler","CH","CH","male",1919,"literature"," special appreciation   epic IOlympian SpringI"
800,569,"Sully","Prudhomme","FR","FR","male",1901,"literature"," special    poetic composition  gives evidence  lofty idealism artistic perfection   rare combination   qualities  both heart  intellect"
801,576,"Giosuè","Carducci","IT","IT","male",1906,"literature","not only  consideration   deep learning  critical  but above all   tribute   creative energy freshness  style  lyrical force  characterize  poetic masterpieces"
802,582,"Gerhart Johann Robert","Hauptmann","DE","PL","male",1912,"literature","primarily     fruitful varied  outstanding production   realm  dramatic art"
803,602,"Thomas","Mann","DE","CH","male",1929,"literature","principally   great novel IBuddenbrooksI   won steadily increased   one   classic works  contemporary literature"
804,571,"Christian Matthias Theodor","Mommsen","DE","DE","male",1902,"literature"," greatest living master   art  historical writing  special reference   monumental  IA history  RomeI"
805,604,"Erik Axel","Karlfeldt","SE","SE","male",1931,"literature"," poetry  Erik Axel Karlfeldt"
