"","id","firstname","surname","bornCountryCode","diedCountryCode","gender","year","category","motivation"
"254",11,"Albert Abraham","Michelson","PL","US","male",1907,"physics","""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid"""
"255",231,"Robert Burns","Woodward","US","US","male",1965,"chemistry","""for his outstanding achievements in the art of organic synthesis"""
"256",619,"Thomas Stearns","Eliot","US","GB","male",1948,"literature","""for his outstanding, pioneer contribution to present-day poetry"""
"257",728,"Jack S.","Kilby","US","US","male",2000,"physics","""for his part in the invention of the integrated circuit"""
"258",699,"Franco","Modigliani","IT","US","male",1985,"economics","""for his pioneering analyses of saving and of financial markets"""
"259",702,"Maurice","Allais","FR","FR","male",1988,"economics","""for his pioneering contributions to the theory of markets and efficient utilization of resources"""
"260",691,"Herbert A.","Simon","US","US","male",1978,"economics","""for his pioneering research into the decision-making process within economic organizations"""
"261",75,"Robert","Hofstadter","US","US","male",1961,"physics","""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons"""
"262",77,"Lev Davidovich","Landau","AZ","RU","male",1962,"physics","""for his pioneering theories for condensed matter, especially liquid helium"""
"263",661,"Jaroslav","Seifert","CZ","CZ","male",1984,"literature","""for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man"""
"264",655,"Odysseus","Elytis","GR","GR","male",1979,"literature","""for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness"""
"265",620,"William","Faulkner","US","US","male",1949,"literature","""for his powerful and artistically unique contribution to the modern American novel"""
"266",64,"Polykarp","Kusch","DE","US","male",1955,"physics","""for his precision determination of the magnetic moment of the electron"""
"267",54,"Hideki","Yukawa","JP","JP","male",1949,"physics","""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces"""
"268",639,"Shmuel Yosef","Agnon","UA","IL","male",1966,"literature","""for his profoundly characteristic narrative art with motifs from the life of the Jewish people"""
"269",634,"John","Steinbeck","US","US","male",1962,"literature","""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception"""
"270",203,"Artturi Ilmari","Virtanen","FI","FI","male",1945,"chemistry","""for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method"""
"271",217,"Linus Carl","Pauling","US","US","male",1954,"chemistry","""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances"""
"272",248,"Vladimir","Prelog","BA","CH","male",1975,"chemistry","""for his research into the stereochemistry of organic molecules and reactions"""
"273",208,"Arne Wilhelm Kaurin","Tiselius","SE","SE","male",1948,"chemistry","""for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins"""
"274",225,"Melvin","Calvin","US","US","male",1961,"chemistry","""for his research on the carbon dioxide assimilation in plants"""
"275",76,"Rudolf Ludwig","M_ssbauer","DE","","male",1961,"physics","""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name"""
"276",188,"Hans","Fischer","DE","DE","male",1930,"chemistry","""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin"""
"277",176,"Richard Martin","Willst_tter","DE","CH","male",1915,"chemistry","""for his researches on plant pigments, especially chlorophyll"""
"278",934,"Juan Manuel","Santos","CO","","male",2016,"peace","""for his resolute efforts to bring the country's more than 50-year-long civil war to an end"""
"279",49,"Isidor Isaac","Rabi","PL","US","male",1944,"physics","""for his resonance method for recording the magnetic properties of atomic nuclei"""
"280",696,"George J.","Stigler","US","US","male",1982,"economics","""for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation"""
"281",27,"Niels Henrik David","Bohr","DK","DK","male",1922,"physics","""for his services in the investigation of the structure of atoms and of the radiation emanating from them"""
"282",26,"Albert","Einstein","DE","US","male",1921,"physics","""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect"""
